The Economist,2008,Nonfiction,Chagall: A Biography,Jackie Wullschlager,,
The Economist,2007,Nonfiction,Edith Wharton,Hermione Lee,,
The Economist,2003,Nonfiction,Franklin Delano Roosevelt: Champion of Freedom, Conrad Black,,
The Economist,2005,Nonfiction,Gannibal: The Moor of Petersburg,Hugh Barnes,,
The Economist,2007,Nonfiction,God's Architect: Pugin and the Building of Romantic Britain,Rosemary Hill,,
The Economist,2003,Nonfiction,Governor Reagan: His Rise to Power,Lou Cannon,,
The Economist,2003,Nonfiction,Goya,Robert Hughes,,
The Economist,2002,Nonfiction,Interesting Times: A Twentieth-Century Life,Eric Hobsbawn,,
The Economist,2005,Nonfiction,Mao: The Unknown Story,Jung Chang,Jon Halliday,
The Economist,2002,Nonfiction,Mapping Lives: The Uses of Biography,Peter France ,William St Clair,
The Economist,2002,Nonfiction,Master of the Senate: The Years of Lyndon Johnson,Robert A. Caro,,
The Economist,2005,Nonfiction,"Matisse the Master- A Life of Henri Matisse: The Conquest of Colour, 1909-1954",Hilary Spurling,,
The Economist,2006,Nonfiction,Mellon: An American Life ,David Cannadine,,
The Economist,2008,Nonfiction,Nixonland: The Rise of a President and the Fracturing of America,Rick Perlstein,,
The Economist,2006,Nonfiction,Passionate Minds: The Great Love Affair of the Enlightenment ,David Bodanis,,
The Economist,2002,Nonfiction,Pushkin: A Biography,T.J. Binyon,,
The Economist,2008,Nonfiction,Soul of the Age: A Biography of the Mind of William Shakespeare,Jonathan Bate,,
The Economist,2007,Nonfiction,Stanley: The Impossible Life of Africa's Greatest Explorer,Tim Jeal,,
The Economist,2004,Nonfiction,The Architect King: George III and the Culture of the Enlightenment,David Watkin,,
The Economist,2006,Nonfiction,The Life of George Mackay Brown: Through the Eye of a Needle ,Maggie Fergusson,,
The Economist,2003,Nonfiction,The Majesty of the Law: Reflections of a Supreme Court Justice,Sandra Day O'Connor,,
The Economist,2005,Nonfiction,"The Prince of the City: Giuliani, New York and the Genius of American Life",Fred Siegel.,,
The Economist,2005,Nonfiction,The Pursuit of Victory: The Life and Achievement of Horatio Nelson,Roger Knight.,,
The Economist,2002,Nonfiction,The Red Count: The Life and Times of Harry Kessler,Laird M. Easton,,
The Economist,2007,Nonfiction,The Wagner Clan: The Saga of Germany's Most Illustrious and Infamous Family, Jonathan Carr,,
The Economist,2006,Nonfiction,Thomas Hardy: The Time-Torn Man ,Claire Tomalin,,
The Economist,2007,Nonfiction,Two Lives: Gertrude and Alice,Janet Malcolm,,
The Economist,2004,Nonfiction,Ulysses S. Grant,Josiah Bunting,,
The Economist,2003,Nonfiction,"W.B.Yeats: A Life (Volume II, The Arch-Poet)",R.F. Foster,,
The Economist,2008,Nonfiction,White Heat: The Friendship of Emily Dickinson & Thomas Wentworth Higginson,Brenda Wineapple,,
The Economist,2004,Nonfiction,Wodehouse: A Life,Robert McCrum,,
The Economist,2012,Nonfiction,Bertie: A Life of Edward VII,Jane Ridley,,
The Economist,2011,Nonfiction,Charles Dickens: a Life,Claire Tomalin,,
The Economist,2011,Nonfiction,Deng Xiaoping and the Transformation of China,Ezra Vogel,,
The Economist,2012,Nonfiction,Every Love Story is a Ghost Story: A Life of David Foster Wallace,D.T. Max,,
The Economist,2011,Nonfiction,"Hemingway's Boat: Everything He Loved in Life, and Lost, 1934-1961",Paul Hendrickson,,
The Economist,2010,Nonfiction,Lives Like Loaded Guns: Emily Dickinson and Her Family's Feuds,Lyndall Gordon,,
The Economist,2012,Nonfiction,Raffles and the Golden Opportunity,Victoria Glendinning,,
The Economist,2012,Nonfiction,Rin Tin Tin: The Life and the Legend,Susan Orlean,,
The Economist,2011,Nonfiction,The Paper Garden: An Artist Begins her Life's Work at 72,Molly Peacock,,
The Economist,2012,Nonfiction,"The Pinecone: The Story of Sarah Losh, Forgotten Romantic Heroine- Antiquarian, Architect and Visionary",Jenny Uglow,,
The Economist,2012,Nonfiction,Thomas Hobbes: Leviathan,Noel Malcolm,,
The Economist,2012,Nonfiction,Titian: His Life,Sheila Hale,,
The Economist,2011,Nonfiction,Van Gogh: the Life,Steven Naifeh,Gregory White Smith,
The Economist,2012,Nonfiction,"Wanted Women: Faith, Lies and the War on Terror- The Hidden Lives of Ayaan Hirsi Ali and Aafia Siddiqui",Deborah Scroggins,,
The Economist,2009,Nonfiction,Louis D. Brandeis: A Life,Melvin Urofsky,,
The Economist,2009,Nonfiction,Marx's General: The Revolutionary Life of Friedrich Engels,Tristram Hunt,,
The Economist,2009,Nonfiction,Pops: A Life of Louis Armstrong,Terry Teachout,,
The Economist,2009,Nonfiction,The Ballad of Dorothy Wordsworth: A Life,Frances Wilson,,
The Economist,2009,Nonfiction,"The Life and Times of Raúl Prebisch, 1901-1986",Edgar J. Dosman,,
The Economist,2009,Nonfiction,The Secret Lives of Somerset Maugham,Selina Hastings,,
The Economist,2009,Nonfiction,William Golding: The Man Who Wrote Lord of the Flies,John Carey,,
